passengerId;maxCount
148;10
463;4
471;11
496;2
833;16
1088;6
1238;8
1342;17
1580;8
1591;15
1645;8
1829;11
1959;3
2122;8
2142;5
2366;3
2659;1
2866;2
3175;8
3749;9
3794;13
3918;6
3997;9
4101;5
4519;2
4818;8
4900;7
4935;2
5156;6
5300;3
5518;3
5803;12
6336;8
6357;7
6397;1
6466;3
6620;1
6654;3
6658;11
7240;3
7253;4
7340;6
7554;5
7754;7
7833;9
7880;3
7982;2
7993;3
8086;3
8389;3
8592;6
8638;2
9376;14
9427;7
9465;10
9852;3
9900;3
10206;5
10362;0
10623;2
10817;0
11033;5
11141;4
11317;3
11458;3
11748;2
11858;8
12027;3
12046;2
12799;3
12940;7
13285;5
13289;4
13623;8
13832;1
13840;5
14450;1
14570;2
14832;1
15447;1
243;10
392;18
540;8
623;5
737;5
858;2
897;7
1025;14
1084;4
1127;2
1395;2
1460;5
1483;5
1507;11
1522;5
1721;6
1896;6
1990;7
2235;3
2387;11
2563;14
2580;10
2811;11
2999;1
3179;4
3226;7
3475;9
3698;10
4158;8
4161;11
4190;15
4219;4
4929;8
5614;3
6393;2
6623;1
6773;8
7168;5
7417;10
8105;7
8803;7
8928;5
8932;4
9182;5
9564;0
9879;5
10081;1
10121;3
10230;4
10462;4
10703;7
10914;5
11280;12
11316;6
11500;1
11710;3
12006;5
12367;1
12471;2
12611;1
12626;1
12715;1
13261;6
13622;3
14075;5
14148;1
14423;1
14465;3
14514;3
14536;3
14876;1
15003;1
15004;1
15100;1
15254;1
31;1
516;7
1139;5
1143;19
1270;8
1303;13
1322;10
1339;6
1352;16
1618;8
1650;8
1699;8
1903;12
2393;2
2572;9
2711;5
2776;19
2821;5
2996;10
3000;3
3213;2
3352;2
3488;11
3704;3
3761;3
4391;12
4489;7
5071;9
5117;7
5173;2
5287;4
5345;12
5984;14
6266;4
6482;3
6559;3
6622;14
6825;6
7281;0
7387;4
7850;12
7879;8
8222;7
8257;11
8407;5
8924;5
9162;1
9383;11
9454;6
9517;7
9558;0
10708;8
10798;10
10862;6
11025;7
11393;7
11639;2
11800;3
11936;1
12139;2
12393;1
12998;1
13009;4
13060;2
13207;1
13483;4
13601;3
13648;4
13875;2
13910;2
14289;0
14324;1
14377;1
14420;1
14714;4
14837;1
14997;1
15162;2
15173;4
15207;3
15296;1
85;1
137;8
251;4
451;15
580;8
808;2
1265;17
1884;12
1975;13
2025;1
2231;16
2259;8
2443;9
2488;17
2525;3
2721;5
2748;3
2923;4
3089;10
3098;6
3220;14
3490;13
3796;4
3876;12
3986;4
4042;13
4078;5
4186;3
4239;8
4364;13
4684;6
4937;4
5074;9
5155;6
5223;5
5308;6
5482;7
6361;6
6597;5
6598;3
7066;6
7098;8
7120;14
7530;9
7644;5
