Passenger1 ID;Passenger2 ID;Number of flights together
760;701;15
2759;2717;14
3503;3590;14
2939;5490;13
1337;2867;12
9252;7877;12
2939;4395;12
4441;2550;12
975;1371;12
3278;5423;12
3021;9522;12
4827;1673;12
763;760;12
701;763;12
2926;3590;12
6813;3590;12
3093;1208;12
5491;5481;12
366;374;12
4373;4316;12
2511;407;12
4316;2759;12
4059;4016;12
4395;4399;12
392;382;12
1337;1484;12
975;928;11
7560;4451;11
1343;288;11
4541;7162;11
5443;5481;11
1029;360;11
4316;5491;11
1337;1371;11
771;755;11
4053;4025;11
7685;3735;11
6113;8679;11
4044;4011;11
4552;1046;11
4373;2759;11
9828;9752;11
6507;1733;11
5491;5443;11
1666;1696;11
855;10899;11
1865;1884;11
1337;1464;11
1966;6777;11
1208;5789;11
2969;2959;11
6418;6447;11
4674;4607;11
624;226;11
2783;1818;11
4034;4046;11
6205;4200;11
2906;901;11
3090;3021;11
1023;772;11
392;1849;11
7902;9369;11
4316;5481;11
7747;9522;11
2969;2939;11
6052;6100;11
7872;7866;11
733;752;11
1678;2097;11
2068;7810;11
3589;9258;11
7560;382;11
10576;10541;11
1001;1023;11
5544;5546;11
716;724;11
4316;2717;11
2939;2959;11
746;772;11
9069;7810;11
4339;4009;11
4451;382;11
866;816;11
366;752;11
3477;1053;11
2759;5491;10
3802;92;10
6805;3356;10
1677;4249;10
1849;1822;10
8262;8260;10
1371;928;10
8584;8562;10
1677;3590;10
10016;10083;10
760;716;10
5440;5491;10
733;739;10
975;1337;10
4012;4009;10
4607;1884;10
4339;5414;10
4083;4012;10
1772;7327;10
4080;4012;10
2697;2681;10
11296;75;10
928;2511;10
2776;2857;10
9069;9098;10
1696;1464;10
3503;6813;10
2068;2408;10
3278;8158;10
1677;1635;10
5500;5481;10
5481;5494;10
2511;2867;10
274;275;10
6418;5596;10
1095;701;10
4483;3180;10
3503;2926;10
1208;6813;10
6522;6548;10
739;752;10
1378;2489;10
752;374;10
1378;1041;10
1041;2489;10
374;739;10
1849;9066;10
5566;5505;10
6813;4249;10
1484;2867;10
5443;5440;10
928;1337;10
5494;5443;10
5946;5792;10
6084;8961;10
8363;10368;10
2988;2905;10
4056;8363;10
763;751;10
11871;10767;10
5443;4316;10
6813;2926;10
5478;5464;10
8596;2201;10
8596;8679;10
4249;3418;10
5101;5111;10
477;3120;10
5481;5440;10
2223;2441;10
4395;4388;10
1484;2511;10
7039;3278;10
6813;1677;10
368;362;10
5789;6813;10
3418;3590;10
10767;10716;10
701;751;10
2550;1447;10
5443;5500;10
5966;5977;10
4850;2960;10
2857;2926;10
5911;5989;10
5375;3896;10
1337;1955;10
4441;1447;10
5500;5494;10
1662;391;10
4388;4399;10
975;5423;10
10478;859;10
2939;1337;10
3466;9742;10
2489;2476;10
3576;3544;10
10719;10702;10
3223;8257;10
2201;8679;10
7866;7662;10
4395;5490;10
9282;9258;10
5500;5440;10
5423;8158;10
606;3169;10
4682;4700;10
4656;4609;10
1095;760;10
3418;6813;10
4083;4009;10
11046;11074;10
4969;2294;10
5494;5491;10
1865;2773;10
4294;4260;10
1666;1464;10
2939;4399;10
5482;8190;10
4249;6447;10
5494;5440;10
1064;7579;10
4774;6560;10
1884;2773;10
751;760;10
670;624;10
1677;7605;10
5500;5491;10
3865;3847;10
5744;5798;10
2231;5522;10
3590;4249;10
13221;12323;10
2759;5481;10
2759;5443;10
392;9066;10
3544;2294;9
2097;9828;9
4820;5522;9
1001;368;9
271;230;9
2789;1696;9
755;740;9
2988;2911;9
9014;9066;9
4700;6020;9
11275;9063;9
1208;2886;9
772;724;9
4674;2773;9
1884;4674;9
4044;4012;9
6017;6064;9
1001;1095;9
746;763;9
3078;9271;9
4011;4083;9
479;8596;9
1371;1484;9
4009;5426;9
772;751;9
2969;975;9
959;997;9
5788;5706;9
2926;6707;9
3361;1966;9
724;1053;9
2759;5500;9
407;1484;9
901;2857;9
7243;8007;9
1007;1038;9
2857;6813;9
4969;4674;9
4316;4395;9
4066;4083;9
2886;5989;9
772;760;9
4774;8262;9
4942;4990;9
5494;2759;9
3503;7866;9
752;760;9
8299;258;9
2717;1484;9
4316;4388;9
7605;7662;9
3590;5789;9
1666;2789;9
